Quarter,Minute,Second,Down,ToGo,YardLine,PointDiff,PlayType
1,11,27,2,15,11,6,1
1,9,41,1,7,93,0,1
2,13,39,2,18,40,10,1
2,11,12,3,13,8,10,1
3,7,37,1,10,77,10,1
2,15,0,2,4,31,-7,0
2,14,28,2,6,39,-3,0
1,7,32,1,10,54,0,1
4,2,27,2,10,44,23,0
2,0,44,2,2,28,1,1
1,12,17,1,10,21,0,1
4,9,3,1,10,70,1,1
3,5,59,1,10,58,12,0
2,0,35,2,5,36,-26,1
5,13,45,1,10,36,0,0
3,4,19,1,10,68,-19,0
2,5,30,1,10,81,0,1
3,6,18,1,10,40,-6,1
3,2,40,2,4,64,-10,1
2,1,42,2,10,65,-12,1
1,3,35,1,10,14,-3,0
1,3,10,2,4,25,4,1
4,2,47,1,10,37,7,0
3,7,5,2,4,60,-10,1
4,7,38,3,10,35,10,1
2,8,30,2,9,39,3,0
2,15,0,2,11,81,0,1
4,8,21,2,12,54,-4,1
1,1,17,2,8,75,0,1
3,1,40,1,10,25,-12,1
1,14,3,3,2,33,0,0
3,6,56,1,10,44,12,0
3,9,21,2,16,37,-7,1
1,11,31,2,10,14,0,1
1,7,2,2,10,49,0,1
4,1,23,1,10,65,-12,1
4,12,17,1,10,46,-14,0
4,13,23,2,2,58,-15,0
1,4,9,1,10,43,13,1
4,15,0,2,5,17,14,1
4,9,24,2,7,91,6,1
4,15,0,3,3,47,-3,1
2,7,3,1,10,54,0,1
1,7,5,1,10,48,3,0
1,4,40,1,10,35,-6,1
3,1,13,1,10,67,-10,1
1,13,45,1,10,39,0,0
1,1,58,1,10,87,-7,0
3,1,24,2,6,55,-11,1
2,3,24,3,8,34,-7,1
3,13,27,2,11,54,-14,1
1,2,43,2,9,26,0,1
4,4,20,2,10,27,4,0
1,11,48,1,10,53,0,0
3,9,47,2,6,93,3,1
3,2,9,1,10,50,-2,1
2,8,5,1,10,72,6,0
2,15,0,3,9,77,-4,1
3,6,43,3,1,66,-14,1
4,9,27,1,10,51,-13,1
1,8,3,2,5,28,-3,1
3,12,39,1,10,54,14,1
2,15,0,2,4,41,0,1
3,13,23,3,1,59,-5,0
4,10,42,2,1,48,16,0
2,4,57,2,10,79,-7,0
1,9,54,2,8,17,-3,0
1,8,4,1,10,52,-6,1
2,11,32,2,4,20,4,1
3,12,46,2,10,86,-7,1
4,5,38,1,10,45,-16,1
4,12,33,1,10,30,0,1
1,13,1,2,5,50,0,1
1,8,24,1,8,92,-3,1
3,3,11,1,20,25,22,0
3,4,57,1,10,75,7,1
2,0,26,1,10,87,6,1
1,4,29,3,7,40,4,1
2,15,0,1,8,92,-3,0
3,7,13,3,13,46,3,1
4,9,31,2,5,72,11,0
4,13,43,4,1,72,-16,0
4,3,40,3,10,86,0,1
3,12,5,3,12,11,0,1
1,2,32,2,4,31,-10,0
1,15,0,1,10,20,0,1
4,10,19,2,8,62,0,1
1,13,45,2,14,26,0,1
3,2,58,3,3,51,10,1
4,3,1,2,7,52,10,1
3,0,52,2,1,82,8,0
2,4,58,2,10,62,-3,0
4,15,0,3,18,51,3,1
4,10,48,1,10,72,-16,0
1,0,42,2,8,70,0,0
3,3,31,1,10,72,27,1
4,2,9,3,10,83,-17,1
4,9,31,2,6,28,10,0
4,13,39,2,23,56,6,1
3,12,7,1,10,39,1,1
2,8,58,2,2,70,4,0
2,1,1,3,6,31,17,0
3,13,2,3,2,57,-7,0
4,1,12,4,2,71,40,1
4,3,40,2,10,25,-15,1
2,4,17,1,10,86,14,1
3,14,53,1,15,29,10,1
1,11,35,1,10,32,0,1
4,2,43,2,6,94,-20,0
2,6,52,1,10,64,1,0
3,12,48,2,10,25,24,1
4,13,15,1,10,76,8,1
5,3,12,1,10,72,0,0
4,8,10,2,2,54,-20,0
4,11,40,2,10,33,14,0
1,9,23,1,10,19,0,0
1,13,36,1,10,29,0,0
3,7,38,2,10,22,-13,1
3,15,0,1,10,25,-11,0
4,7,34,3,4,23,-3,1
2,11,35,1,20,76,-7,1
1,1,44,2,3,46,7,1
1,1,3,1,10,30,0,1
1,11,39,1,10,73,0,0
2,0,32,1,10,50,-3,1
3,3,19,1,10,42,4,0
2,11,30,2,8,35,0,0
2,5,47,2,8,58,3,1
4,2,28,1,10,90,-4,0
2,0,19,2,10,81,6,1
1,13,41,2,10,37,0,0
2,12,10,2,10,48,-1,1
3,7,31,2,10,31,-6,0
2,4,24,1,10,35,14,1
3,1,56,1,10,71,15,0
3,3,10,2,15,15,3,1
1,13,3,3,10,45,0,1
4,6,54,2,10,85,8,1
1,4,15,2,1,46,-7,0
1,8,57,2,12,31,0,1
1,12,35,2,12,35,0,1
3,4,5,1,10,59,0,0
1,7,36,2,2,77,0,1
4,5,19,2,10,51,-5,1
